id;companyId;containerId;createdAt;customer;customerAge;customerRegion;voucher;idVoucher;displayId;engineId;engineName;engineType;extraInfo;integrated;integrationId;isTest;orderTiming;orderType;salesChannel;scheduledAt;status;preparationTime;takeOutTimeInSeconds;totalAmount;updatedAt;version
11;ZQ1VKVV411;QIZRMT0N;11/10/2024 16:49;34;25;SUDESTE;FALSO;;HB62HL;N6GOQS;IfoodBridge;APP;;VERDADEIRO;9201;FALSO;SCHEDULED;INDOOR;EPADOCA;13/10/2024 12:49;DISPATCHED;85;3548;39.21;12/10/2024 3:13;v2.4.4
12;7GEOQGFA32;J5UFVFCW;15/04/2025 20:22;920;28;SUL;FALSO;;GQ8X2M;PXTGU0;DirectOrder;POS;;FALSO;2944;FALSO;SCHEDULED;DELIVERY;EPADOCA;16/04/2025 0:22;PENDING;32;2155;107.72;16/04/2025 10:18;v1.9.9
13;528YNMK9CU;109S8B04;16/11/2024 7:53;518;24;SUDESTE;FALSO;;A9YZ5S;CZH36H;IfoodBridge;APP;;VERDADEIRO;1015;FALSO;SCHEDULED;INDOOR;ANOTAAI;16/11/2024 21:53;CONFIRMED;30;820;14.15;16/11/2024 20:38;v1.1.1
14;LWXWU1R0DN;952B5IKR;14/01/2025 9:12;932;23;SUL;FALSO;;O8UA4N;UTHO69;CannoliEngine;APP;Vitae eaque enim adipisci non optio.;FALSO;9517;FALSO;IMMEDIATE;DELIVERY;IFOOD;;PENDING;48;3435;44.53;15/01/2025 4:58;v3.3.6
15;HKW9X6REAV;BEHHW9BH;03/05/2025 3:19;19;18;NORTE;FALSO;;2MPGL9;U0U83T;KDSPro;WEB;;VERDADEIRO;9117;FALSO;IMMEDIATE;DELIVERY;99FOOD;;DISPATCHED;40;2318;114.57;03/05/2025 13:26;v3.5.5
16;0FK46WQ28K;CXHHDAS1;10/10/2024 13:12;365;46;NORDESTE;VERDADEIRO;NovoCanolli;CO1RYW;YMCS3Y;DirectOrder;WEB;;FALSO;1701;FALSO;IMMEDIATE;INDOOR;WHATSAPP;;PLACED;82;1126;140.07;11/10/2024 8:49;v1.9.0
17;3LSHZ8BRHQ;1FNTTUYS;07/07/2025 16:58;34;25;SUDESTE;FALSO;;HCJQT2;JAVYEJ;KDSPro;POS;Eius quo dolorum.;VERDADEIRO;2177;FALSO;SCHEDULED;TAKEOUT;IFOOD;09/07/2025 10:58;PLACED;54;367;46.37;08/07/2025 11:33;v2.0.0
18;0D48EGJ7A0;KLL5ZNLN;19/12/2024 0:30;39;23;SUL;FALSO;;CJ7XZY;0UQC4W;IfoodBridge;POS;;VERDADEIRO;6461;FALSO;IMMEDIATE;DELIVERY;DELIVERYVIP;;CONFIRMED;18;2092;98.13;19/12/2024 11:03;v2.1.1
19;8F1BOM17OC;E3OZKDZW;12/08/2025 9:43;99;24;NORDESTE;FALSO;;ACZHZE;Q3MN9X;IfoodBridge;POS;Qui assumenda magni.;VERDADEIRO;4627;FALSO;IMMEDIATE;TAKEOUT;WHATSAPP;;CANCELED;29;1650;37.15;13/08/2025 3:27;v3.4.1
20;OG2ARXXLHY;4UXMWA17;05/12/2024 7:26;301;29;SUL;FALSO;;8FXPIF;8RDZRQ;CannoliEngine;POS;Nostrum ipsum vero voluptas.;VERDADEIRO;7106;FALSO;IMMEDIATE;TAKEOUT;IFOOD;;CONFIRMED;63;2405;47.72;05/12/2024 17:12;v3.1.5
21;VZ2GPILERE;KJS7YUCF;11/01/2025 7:45;348;29;SUDESTE;FALSO;;6WXQGL;DXZFLM;DirectOrder;WEB;;VERDADEIRO;2822;FALSO;SCHEDULED;DELIVERY;IFOOD;14/01/2025 6:45;CONFIRMED;51;3181;18.53;11/01/2025 18:33;v2.2.5
22;KCAEHKKLDI;XS5B4M6E;26/09/2024 7:01;233;19;SUL;FALSO;;ERR7EB;LQWXW0;DirectOrder;WEB;Quaerat corrupti reprehenderit sequi dolor accusamus.;VERDADEIRO;4011;FALSO;SCHEDULED;INDOOR;ANOTAAI;26/09/2024 15:01;CANCELED;80;1846;33.69;26/09/2024 11:54;v3.4.1
23;4Y2WNGQOHO;ABED5RB8;23/11/2024 23:42;66;21;NORDESTE;VERDADEIRO;Canolli10;MGBC52;R3AKEZ;IfoodBridge;POS;Voluptas quidem quo facere quos.;FALSO;3265;FALSO;IMMEDIATE;DELIVERY;SITE;;CONCLUDED;15;3370;40.94;24/11/2024 0:23;v2.3.3
24;0WXLL5UBEV;SZLCDNTQ;07/02/2025 13:25;115;22;SUDESTE;FALSO;;ICHEX7;SAOEOG;KDSPro;APP;;VERDADEIRO;9347;FALSO;SCHEDULED;TAKEOUT;WHATSAPP;09/02/2025 21:25;CONFIRMED;53;3094;70.15;08/02/2025 3:26;v3.3.7
25;XR5SAXQC63;RJLBFRJS;15/07/2025 7:07;71;27;SUL;FALSO;;JJ7P3O;PBL120;CannoliEngine;POS;Ea numquam eum perspiciatis adipisci.;FALSO;9823;FALSO;IMMEDIATE;TAKEOUT;IFOOD;;DISPATCHED;13;2214;16.35;15/07/2025 23:02;v1.7.7
26;QVPSKZQI9X;XX36DOLK;27/11/2024 7:34;661;21;CENTRO OESTE;VERDADEIRO;Canolli10;32J1WM;PQ30VZ;DirectOrder;APP;;VERDADEIRO;1905;FALSO;IMMEDIATE;INDOOR;WHATSAPP;;CANCELED;52;1441;63.31;27/11/2024 22:56;v1.0.0
27;DQ8VDGWMQE;BN26F4DQ;10/03/2025 2:30;73;20;SUDESTE;FALSO;;WML7O6;10HLSE;IfoodBridge;POS;Officia necessitatibus vero amet quisquam sint.;VERDADEIRO;4028;FALSO;SCHEDULED;DELIVERY;IFOOD;10/03/2025 16:30;CONFIRMED;14;74;24.69;10/03/2025 11:36;v2.4.9
28;NFC3Y0SPWQ;IGBU990M;19/09/2024 1:43;416;20;SUDESTE;VERDADEIRO;NovoCanolli;Z9HGNA;0B6NWY;KDSPro;WEB;;FALSO;9517;FALSO;IMMEDIATE;INDOOR;99FOOD;;CANCELED;49;578;30.37;19/09/2024 7:24;v1.6.4
29;D022YBUR0K;8OIG4E8Q;21/08/2025 0:09;595;44;NORTE;FALSO;;ENVGUA;SMCJ2J;IfoodBridge;POS;;VERDADEIRO;1537;FALSO;IMMEDIATE;INDOOR;SITE;;PENDING;41;948;112.35;21/08/2025 2:46;v1.0.7
30;QW856U0RKT;OC19YQ5Q;07/11/2024 3:56;469;23;SUDESTE;VERDADEIRO;NovoCanolli;HS5CD3;BMYU8T;KDSPro;POS;;VERDADEIRO;3423;FALSO;SCHEDULED;DELIVERY;ANOTAAI;07/11/2024 22:56;DISPATCHED;47;241;38.35;07/11/2024 23:15;v2.4.8
31;WJTVTOKD7G;D0NWEVHV;14/09/2024 9:57;822;45;SUDESTE;FALSO;;QE5KN0;W0BRNB;DirectOrder;WEB;Officia eum excepturi laborum praesentium minus voluptatibus.;VERDADEIRO;7008;FALSO;IMMEDIATE;INDOOR;99FOOD;;PENDING;80;3124;21.58;14/09/2024 18:22;v1.4.3
32;Q5LHO3G839;JY193AT6;02/03/2025 7:57;502;25;CENTRO OESTE;VERDADEIRO;Canolli20;MDVBO1;0GGOV1;CannoliEngine;APP;;VERDADEIRO;9334;FALSO;SCHEDULED;INDOOR;IFOOD;03/03/2025 5:57;PLACED;49;2528;43.23;02/03/2025 22:15;v3.2.7
33;71E4FMTCP2;R7DOYFY5;09/07/2025 2:39;183;27;NORTE;VERDADEIRO;Canolli10;746S5I;PRUIXB;IfoodBridge;WEB;Autem quasi voluptates libero ea odit.;VERDADEIRO;4186;FALSO;SCHEDULED;INDOOR;DELIVERYVIP;11/07/2025 6:39;PLACED;55;3542;31.51;09/07/2025 12:45;v3.1.5
34;SNSTAVPIAG;F9AHO3K5;07/05/2025 4:44;854;26;SUDESTE;VERDADEIRO;NovoCanolli;WUIH2J;YHRQG3;IfoodBridge;WEB;;VERDADEIRO;3874;FALSO;SCHEDULED;TAKEOUT;EPADOCA;09/05/2025 6:44;CANCELED;57;3024;38.48;07/05/2025 19:03;v3.8.9
35;F30EI0IOU8;H1BQ2S2W;08/08/2025 5:11;286;24;SUDESTE;FALSO;;MSWY7X;A23BT0;KDSPro;POS;;VERDADEIRO;4405;FALSO;IMMEDIATE;DELIVERY;ANOTAAI;;CANCELED;27;1852;19.5;08/08/2025 14:13;v1.4.4
36;MJOIEZZG6D;LMFBDWU1;21/07/2025 18:01;338;25;SUDESTE;VERDADEIRO;Canolli20;G7PNDX;MZ2CAO;KDSPro;WEB;;FALSO;6324;FALSO;SCHEDULED;DELIVERY;EPADOCA;22/07/2025 18:01;PLACED;79;1801;26.93;22/07/2025 10:42;v2.0.5
37;XO06R9DD6E;AF0EZT9L;02/03/2025 2:05;848;23;NORTE;FALSO;;NBOHUX;S928Q0;DirectOrder;WEB;;VERDADEIRO;6909;FALSO;IMMEDIATE;INDOOR;DELIVERYVIP;;CONCLUDED;79;368;23.58;02/03/2025 7:20;v3.6.6
38;0EN9UU2Y4I;X0HY9KDP;21/02/2025 17:58;600;20;SUL;VERDADEIRO;NovoCanolli;PEQ1ZJ;GDGK8D;DirectOrder;POS;Ullam similique ipsum quos sunt quisquam.;VERDADEIRO;9408;FALSO;IMMEDIATE;DELIVERY;WHATSAPP;;CANCELED;78;175;83.62;21/02/2025 20:13;v1.4.7
39;DXVNIUA0IR;AL0L8LPH;13/10/2024 3:32;209;26;SUL;VERDADEIRO;Canolli10;YKIZ8V;886N7H;KDSPro;APP;;VERDADEIRO;8311;FALSO;IMMEDIATE;TAKEOUT;IFOOD;;CANCELED;50;1126;55.98;13/10/2024 14:51;v1.3.8
40;D2T8YFOTUX;6J1YGSKQ;18/08/2025 2:08;968;19;SUDESTE;FALSO;;YP891X;SD0NKV;CannoliEngine;APP;;VERDADEIRO;6279;FALSO;SCHEDULED;DELIVERY;WHATSAPP;19/08/2025 20:08;DISPATCHED;48;468;43.15;18/08/2025 12:37;v1.3.8
41;QKNPPAJIYR;YYIQEZRP;18/02/2025 4:12;990;29;SUL;FALSO;;1482GQ;T1KAYW;DirectOrder;POS;;VERDADEIRO;7982;FALSO;SCHEDULED;INDOOR;EPADOCA;19/02/2025 9:12;PENDING;39;424;81.02;18/02/2025 18:30;v3.6.2
42;5T5Q07NJ8A;2E3WM5QM;17/11/2024 15:38;628;25;SUL;FALSO;;2J4PKI;46JI5E;DirectOrder;APP;Harum laboriosam quos nesciunt.;FALSO;6509;FALSO;SCHEDULED;INDOOR;99FOOD;18/11/2024 5:38;DISPATCHED;58;3412;29.76;18/11/2024 4:40;v3.0.9
43;MXCMHYCSXF;1GEHW9RH;07/10/2024 8:15;302;25;CENTRO OESTE;VERDADEIRO;NovoCanolli;3L7TYN;U5Q1OS;DirectOrder;WEB;Quas recusandae modi quaerat.;FALSO;3425;VERDADEIRO;IMMEDIATE;DELIVERY;99FOOD;;CANCELED;87;2917;58.15;07/10/2024 12:50;v2.3.7
44;GRC38P58M1;MHJNBXSM;07/02/2025 19:58;709;44;SUDESTE;FALSO;;2EJO2C;UQFMZJ;DirectOrder;WEB;;VERDADEIRO;4348;FALSO;SCHEDULED;TAKEOUT;SITE;10/02/2025 1:58;CONCLUDED;43;958;16.92;08/02/2025 9:57;v1.4.9
45;6ML55UQOLF;8MJL8N0Y;18/10/2024 21:05;722;33;SUDESTE;FALSO;;WQ7AN7;P72I82;DirectOrder;WEB;Omnis est eveniet minima at veniam.;FALSO;9003;VERDADEIRO;IMMEDIATE;INDOOR;IFOOD;;CANCELED;87;61;28.44;19/10/2024 2:40;v3.0.6
46;WKR38K2D0J;ZCBFFBFL;15/05/2025 9:08;721;22;NORTE;FALSO;;1HBGYB;2DP63Q;CannoliEngine;WEB;;FALSO;6692;FALSO;IMMEDIATE;INDOOR;99FOOD;;PLACED;35;2032;22.67;15/05/2025 12:39;v3.3.9
47;R1L7KENH3I;6WTL0OC7;09/12/2024 19:38;29;38;CENTRO OESTE;FALSO;;HKHBED;BPBX2X;KDSPro;WEB;;VERDADEIRO;1672;FALSO;IMMEDIATE;DELIVERY;99FOOD;;CANCELED;77;1055;140.02;10/12/2024 7:34;v2.1.7
48;ZX7ZB146DZ;F9WTDNAP;09/03/2025 18:05;700;26;SUDESTE;FALSO;;GFHTN9;XED3A2;CannoliEngine;POS;;VERDADEIRO;4859;FALSO;SCHEDULED;TAKEOUT;DELIVERYVIP;10/03/2025 21:05;PLACED;56;2424;109.59;10/03/2025 3:58;v3.7.0
49;VL2PJCCXGK;2YSI9ZF3;23/05/2025 5:01;789;26;NORTE;FALSO;;XIZ8FI;RMCLVV;CannoliEngine;WEB;;FALSO;4133;FALSO;SCHEDULED;TAKEOUT;WHATSAPP;25/05/2025 3:01;CONFIRMED;66;627;18.65;23/05/2025 20:32;v3.6.9
50;UX73A4RH7G;N938KY4Y;29/04/2025 13:34;248;21;SUDESTE;FALSO;;UOWZIU;T00AA7;KDSPro;WEB;;FALSO;6080;FALSO;IMMEDIATE;INDOOR;SITE;;CONFIRMED;75;3538;15.87;29/04/2025 21:46;v2.7.9
51;CD0Y4Q9YG0;QLWE10W7;04/09/2024 7:04;145;29;SUDESTE;FALSO;;TUA9GY;DBXE1B;IfoodBridge;WEB;;FALSO;8436;FALSO;IMMEDIATE;DELIVERY;DELIVERYVIP;;CONFIRMED;62;1398;20.67;04/09/2024 16:29;v2.1.2
52;XRV170HAGM;QP4WG6RP;25/11/2024 2:51;442;33;SUDESTE;FALSO;;DHKUZU;X887OC;IfoodBridge;WEB;;VERDADEIRO;6343;FALSO;IMMEDIATE;TAKEOUT;IFOOD;;CONCLUDED;77;1304;70.03;25/11/2024 4:55;v2.1.4
53;41169G871M;PLRPMXYR;22/01/2025 7:47;511;25;CENTRO OESTE;VERDADEIRO;NovoCanolli;AEON3O;V1OKMD;CannoliEngine;APP;Id veniam eaque ducimus ipsa.;FALSO;3250;VERDADEIRO;SCHEDULED;INDOOR;ANOTAAI;24/01/2025 16:47;CONCLUDED;63;71;52.03;22/01/2025 22:32;v2.2.6
54;B0B1YOA8OS;23SBKP1L;27/01/2025 12:55;269;29;SUL;VERDADEIRO;NovoCanolli;4WFXFM;D13UG3;KDSPro;APP;Suscipit quas in.;VERDADEIRO;7262;VERDADEIRO;IMMEDIATE;DELIVERY;ANOTAAI;;DISPATCHED;36;1387;69.31;28/01/2025 1:16;v3.1.4
55;WLDY8J1UI9;L69ISXUW;01/03/2025 23:43;524;23;SUDESTE;VERDADEIRO;Canolli20;VW1PM7;7XVMEZ;KDSPro;POS;;VERDADEIRO;3125;FALSO;IMMEDIATE;DELIVERY;DELIVERYVIP;;CANCELED;10;329;72.11;02/03/2025 15:58;v3.1.7
56;1EKVIPATZ7;BYK9L1WD;29/12/2024 0:46;684;29;SUDESTE;FALSO;;X68C4N;R1H69M;KDSPro;POS;Dolorem eaque iste.;VERDADEIRO;2458;FALSO;IMMEDIATE;DELIVERY;WHATSAPP;;CONFIRMED;25;128;103.38;29/12/2024 9:26;v3.8.4
57;LU3TGLZLM5;VUQ41994;07/10/2024 15:38;834;22;CENTRO OESTE;FALSO;;3UN69Y;DYVE13;IfoodBridge;WEB;;VERDADEIRO;5301;FALSO;SCHEDULED;TAKEOUT;EPADOCA;10/10/2024 13:38;DISPATCHED;81;1342;65.61;08/10/2024 5:41;v2.9.5
58;0YU45O4DNU;YJB54XRE;03/11/2024 23:01;552;19;SUDESTE;FALSO;;AZMCE7;1J9ZND;DirectOrder;POS;;VERDADEIRO;5274;FALSO;IMMEDIATE;TAKEOUT;99FOOD;;PLACED;76;1477;73.41;04/11/2024 14:59;v3.6.3
59;5ZJYITRZRA;UD2YZDZI;06/03/2025 21:21;210;28;SUL;VERDADEIRO;NovoCanolli;RLYFHJ;FC6AQ1;CannoliEngine;POS;Ea quis rem odio.;FALSO;9022;FALSO;IMMEDIATE;TAKEOUT;ANOTAAI;;CONCLUDED;58;1042;48.27;07/03/2025 16:52;v1.8.7
60;G8GBSF5KSX;Z5ER12D5;15/07/2025 12:16;778;27;CENTRO OESTE;FALSO;;VR2BKF;59VA2W;KDSPro;POS;;FALSO;3180;FALSO;SCHEDULED;INDOOR;SITE;18/07/2025 6:16;PENDING;68;239;98.85;15/07/2025 14:46;v3.1.8
61;RYHB9640RG;ZXRI7SIS;03/07/2025 3:42;820;29;SUDESTE;VERDADEIRO;NovoCanolli;1BWMF8;YWT9OC;DirectOrder;APP;;VERDADEIRO;1142;FALSO;SCHEDULED;TAKEOUT;IFOOD;03/07/2025 16:42;DISPATCHED;26;238;119.71;03/07/2025 12:00;v3.2.1
62;Q1NKWM3N3E;1I0B4DJ7;24/10/2024 7:37;844;26;CENTRO OESTE;FALSO;;N795UA;EU4SSV;KDSPro;APP;Vel voluptates repellat consequuntur ducimus saepe natus.;FALSO;5449;VERDADEIRO;IMMEDIATE;TAKEOUT;WHATSAPP;;CONCLUDED;40;3071;45.73;24/10/2024 8:07;v3.7.2
63;X1KJ49YQMI;JAJNDKJP;26/12/2024 5:48;361;37;NORDESTE;FALSO;;2RS20F;E51T2K;KDSPro;POS;;FALSO;4757;FALSO;IMMEDIATE;DELIVERY;99FOOD;;PLACED;15;2008;166.16;26/12/2024 10:58;v3.4.2
64;ZWRJHHR6E1;PEN4FE98;04/12/2024 1:08;79;21;SUDESTE;FALSO;;9AHSH1;GRG946;CannoliEngine;APP;;VERDADEIRO;5874;FALSO;SCHEDULED;DELIVERY;DELIVERYVIP;05/12/2024 6:08;DISPATCHED;49;946;38.27;04/12/2024 16:12;v2.0.0
65;V7UW67H8F9;T6GXNYT2;16/02/2025 14:43;877;36;SUL;FALSO;;GOI8SK;9150UM;CannoliEngine;WEB;;VERDADEIRO;3006;FALSO;SCHEDULED;DELIVERY;SITE;17/02/2025 11:43;CONCLUDED;84;1167;43.05;16/02/2025 22:53;v1.8.1
66;2AJH706LGL;GUQDVEAB;17/07/2025 10:00;509;31;SUDESTE;VERDADEIRO;Canolli20;7U7GF1;384BAX;DirectOrder;POS;Eaque nisi atque occaecati quis laudantium rem.;FALSO;2828;FALSO;SCHEDULED;INDOOR;EPADOCA;18/07/2025 23:00;PLACED;22;1261;60.09;17/07/2025 14:46;v3.3.0
67;LRIUBR6D6N;WTV79BKE;22/03/2025 1:55;674;26;SUDESTE;FALSO;;94XQFK;XM9PUW;CannoliEngine;APP;Voluptatum aliquid perspiciatis natus rerum unde ullam.;VERDADEIRO;3348;FALSO;IMMEDIATE;TAKEOUT;EPADOCA;;PENDING;16;3231;45.08;22/03/2025 7:54;v3.7.7
68;PM675BNKAF;PCXEDE4N;14/04/2025 13:45;519;22;SUL;FALSO;;ABH41M;4I299I;KDSPro;APP;;VERDADEIRO;2492;FALSO;IMMEDIATE;TAKEOUT;WHATSAPP;;CONCLUDED;39;3344;24.04;14/04/2025 17:33;v2.8.1
69;DVCFO9RE3D;VSB58ZBN;31/01/2025 14:48;887;23;SUDESTE;FALSO;;IAB2YU;7YF9UL;DirectOrder;APP;Non facere nesciunt aliquid ex harum.;VERDADEIRO;5564;FALSO;SCHEDULED;INDOOR;ANOTAAI;31/01/2025 21:48;PLACED;14;1831;22.37;31/01/2025 20:59;v3.1.4
70;MM04K3HF9P;QN4G6RCK;18/01/2025 5:11;380;23;SUDESTE;VERDADEIRO;NovoCanolli;PA29MF;F0GBVP;IfoodBridge;APP;;VERDADEIRO;5734;FALSO;SCHEDULED;TAKEOUT;ANOTAAI;19/01/2025 8:11;CONCLUDED;11;1597;53.58;18/01/2025 18:29;v2.3.7
71;ZG42W6HDBM;4I5VGD1X;30/04/2025 13:02;86;25;SUDESTE;FALSO;;8L3JDA;0HXV2Z;DirectOrder;WEB;Est nihil tempore velit illum sint ex tempora.;FALSO;1438;FALSO;IMMEDIATE;TAKEOUT;SITE;;CONCLUDED;35;1446;31.07;30/04/2025 14:33;v3.5.5
72;LWQ1QU1RE0;7WXC1KNG;11/05/2025 5:25;515;29;SUDESTE;FALSO;;ROJ95T;CY7SXP;DirectOrder;POS;;FALSO;6200;FALSO;SCHEDULED;DELIVERY;IFOOD;13/05/2025 12:25;CONCLUDED;18;1426;58.58;11/05/2025 14:29;v3.0.8
73;Y7VND8VI6F;KRXXWFMH;06/02/2025 16:39;880;38;NORDESTE;FALSO;;6AAF28;NWNL2U;DirectOrder;APP;;VERDADEIRO;8412;FALSO;IMMEDIATE;DELIVERY;99FOOD;;PLACED;28;230;81.67;07/02/2025 10:38;v3.3.6
74;LO2D8FU8KX;HRTAUZF0;27/11/2024 16:53;79;21;SUDESTE;FALSO;;1SVB8Q;3518RW;CannoliEngine;WEB;;VERDADEIRO;5333;FALSO;SCHEDULED;INDOOR;SITE;28/11/2024 1:53;DISPATCHED;80;293;51.61;28/11/2024 2:53;v3.7.7
75;8DOUFMGL7D;AOVXPKAY;31/05/2025 20:46;819;27;SUDESTE;VERDADEIRO;NovoCanolli;BSEWYO;0CADSM;IfoodBridge;APP;;VERDADEIRO;1671;VERDADEIRO;SCHEDULED;DELIVERY;ANOTAAI;03/06/2025 9:46;PENDING;7;470;64.61;01/06/2025 4:18;v1.2.2
76;UH9WL4B731;660U20E2;11/06/2025 7:10;136;22;NORDESTE;FALSO;;6PSRC4;DWC279;IfoodBridge;POS;;FALSO;3454;FALSO;SCHEDULED;TAKEOUT;EPADOCA;12/06/2025 5:10;CONFIRMED;19;2384;50.42;11/06/2025 20:50;v2.4.2
77;WEQD6R5FL4;2VLBFJ06;24/08/2025 22:27;934;25;SUDESTE;VERDADEIRO;NovoCanolli;DS8FL2;WBZ8W8;CannoliEngine;POS;;VERDADEIRO;5823;FALSO;IMMEDIATE;DELIVERY;99FOOD;;CANCELED;22;1775;18.78;25/08/2025 15:55;v1.3.5
78;KP748FFOYW;WADSQ32Q;29/11/2024 23:44;184;25;NORDESTE;FALSO;;L5G0TR;HC76WI;DirectOrder;APP;Cumque natus blanditiis quasi repellendus occaecati.;VERDADEIRO;7412;FALSO;SCHEDULED;INDOOR;SITE;02/12/2024 11:44;DISPATCHED;27;2385;68.23;30/11/2024 10:50;v2.0.2
79;4V6WJZEO3V;598W406M;07/07/2025 8:55;971;43;SUL;FALSO;;Q8I3WE;HGSUWG;DirectOrder;POS;Fuga deleniti voluptatibus quaerat architecto veniam quos ut.;FALSO;3392;FALSO;IMMEDIATE;DELIVERY;SITE;;DISPATCHED;53;1805;65.27;07/07/2025 19:43;v2.4.8
80;11KPKWXG0Z;FDKNL48K;24/12/2024 5:13;647;25;SUL;VERDADEIRO;NovoCanolli;6H9G9E;I2LIMP;IfoodBridge;POS;;FALSO;9582;FALSO;SCHEDULED;TAKEOUT;WHATSAPP;26/12/2024 21:13;DISPATCHED;51;3215;22.04;24/12/2024 15:47;v2.5.4
81;4WAH3QO2CN;Q8DLD7M1;18/08/2025 22:24;620;31;SUDESTE;FALSO;;DNFCIJ;TET57M;CannoliEngine;APP;;VERDADEIRO;4309;FALSO;SCHEDULED;TAKEOUT;ANOTAAI;18/08/2025 23:24;CANCELED;51;152;29.74;19/08/2025 6:06;v2.7.9
82;CXV3CX4KAF;REANOKQO;04/07/2025 20:36;772;26;SUDESTE;FALSO;;GAWG57;53PIXD;IfoodBridge;POS;Animi expedita quae quo illum laboriosam at.;VERDADEIRO;2006;FALSO;SCHEDULED;INDOOR;99FOOD;05/07/2025 12:36;PLACED;81;2120;33.58;05/07/2025 9:25;v2.1.4
83;EH2Y205KH0;405CRZET;15/12/2024 3:09;112;27;SUDESTE;FALSO;;VLLBTX;JUVRM2;DirectOrder;POS;;FALSO;6000;FALSO;SCHEDULED;INDOOR;SITE;17/12/2024 11:09;CONCLUDED;63;2369;31.86;15/12/2024 13:16;v3.9.8
84;MK07FAEWVE;14QLKH0X;14/11/2024 10:49;183;27;NORTE;FALSO;;ZPWN79;PG2IMI;CannoliEngine;POS;;FALSO;3094;FALSO;IMMEDIATE;TAKEOUT;99FOOD;;CANCELED;49;860;63.55;14/11/2024 22:35;v3.5.2
85;YQ3YHGMLT4;3E90EQEI;09/05/2025 4:05;888;20;SUDESTE;FALSO;;HUO63W;EDPLHR;DirectOrder;POS;;VERDADEIRO;8497;FALSO;IMMEDIATE;DELIVERY;EPADOCA;;CONFIRMED;82;943;84.76;09/05/2025 17:54;v2.8.9
